,Gen,Case,Fitness,NPV,ABS Diff,Parents
0,1,50,17.51235771399225,400253.3108581037,0,none
0,1,107,32.68994002071593,398239.81738279376,0,none
0,1,135,37.46354456085068,404917.5250765982,0,none
0,1,79,79.97139670019868,396952.2743512434,0,none
0,1,11,90.51228601019302,404891.2135207203,0,none
0,1,28,100.92249486566335,409331.6983637004,0,none
0,1,66,101.26672111504055,382189.5344585995,0,none
0,1,160,107.56533837813191,407984.2927695754,0,none
0,1,163,173.91320451402447,413114.06670396734,0,none
0,1,101,197.87077208226455,409886.2904181257,0,none
Top 10 Generation: 2
,Gen,Case,Fitness,NPV,ABS Diff,Parents
0,1,50,17.51235771399225,400253.3108581037,0,none
0,2,26,20.790302945785584,401787.2574258555,0,gen1case92 gen1case50
0,2,2,29.596798389423455,402117.5368258978,0,gen1case92 gen1case107
0,1,107,32.68994002071593,398239.81738279376,0,none
0,1,135,37.46354456085068,404917.5250765982,0,none
0,2,7,42.039202185730026,402695.46466888767,0,gen1case147 gen1case50
0,2,28,52.24648991170842,398245.65362108423,0,gen1case28 gen1case94
0,2,38,63.22193908452348,398262.3596724081,0,gen1case50 gen1case79
0,1,79,79.97139670019868,396952.2743512434,0,none
0,2,36,80.93726230950946,393582.6672542026,0,gen1case8 gen1case30
Top 10 Generation: 3
,Gen,Case,Fitness,NPV,ABS Diff,Parents
0,1,50,17.51235771399225,400253.3108581037,0,none
0,3,3,19.73752716691987,400113.71642040915,0,gen2case33 gen2case10
0,2,26,20.790302945785584,401787.2574258555,0,gen1case92 gen1case50
0,2,2,29.596798389423455,402117.5368258978,0,gen1case92 gen1case107
0,1,107,32.68994002071593,398239.81738279376,0,none
0,3,18,34.08919680259845,400587.4994389878,0,gen2case12 gen2case28
0,1,135,37.46354456085068,404917.5250765982,0,none
0,2,7,42.039202185730026,402695.46466888767,0,gen1case147 gen1case50
0,3,16,48.34100100801965,402026.2556208029,0,gen2case26 gen2case7
0,2,28,52.24648991170842,398245.65362108423,0,gen1case28 gen1case94
Top 10 Generation: 4
,Gen,Case,Fitness,NPV,ABS Diff,Parents
0,4,21,15.670067400543038,401962.14218267944,0,gen2case38 gen2case18
0,1,50,17.51235771399225,400253.3108581037,0,none
0,4,30,17.714708288688033,402437.16282478493,0,gen3case12 gen1case101
0,3,3,19.73752716691987,400113.71642040915,0,gen2case33 gen2case10
0,2,26,20.790302945785584,401787.2574258555,0,gen1case92 gen1case50
0,2,2,29.596798389423455,402117.5368258978,0,gen1case92 gen1case107
0,1,107,32.68994002071593,398239.81738279376,0,none
0,3,18,34.08919680259845,400587.4994389878,0,gen2case12 gen2case28
0,1,135,37.46354456085068,404917.5250765982,0,none
0,2,7,42.039202185730026,402695.46466888767,0,gen1case147 gen1case50
Top 10 Generation: 5
,Gen,Case,Fitness,NPV,ABS Diff,Parents
0,4,21,15.670067400543038,401962.14218267944,0,gen2case38 gen2case18
0,1,50,17.51235771399225,400253.3108581037,0,none
